epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,224.556,1.46664,2.60608,2.30903,0.0038,9.81546,0.78655,0.24957,0.26499,0.18113,0.78013,0.24451,0.254,0.14526,1.31279,2.09817,2.01731,0.00368,0,0.000327778,0.000327778,0.000327778
2,253.094,1.40569,2.31403,1.19541,0.00326,5.50637,0.57391,0.31803,0.34299,0.23418,0.56501,0.31007,0.32726,0.18431,1.2667,1.99742,1.16892,0.00388,0,0.000648021,0.000648021,0.000648021
3,281.296,1.49287,2.35186,0.82965,0.00369,3.16939,0.491,0.34159,0.35067,0.2253,0.48332,0.33498,0.3359,0.18767,1.37854,2.17478,0.85082,0.00452,0,0.000955064,0.000955064,0.000955064
4,309.294,1.58884,2.42346,0.65327,0.00428,2.51409,0.36874,0.29685,0.31046,0.19861,0.4285,0.29716,0.30216,0.17442,1.44499,2.13088,0.66054,0.00489,0,0.0009406,0.0009406,0.0009406
5,336.409,1.55905,2.41534,0.57391,0.0042,2.17838,0.43812,0.32349,0.34681,0.21868,0.42374,0.31452,0.32777,0.1741,1.43816,2.12048,0.58242,0.00506,0,0.0009208,0.0009208,0.0009208
6,363.092,1.61875,2.48127,0.53769,0.00422,2.13135,0.54204,0.29508,0.3203,0.20472,0.53304,0.28839,0.30209,0.16275,1.45128,2.20559,0.60313,0.00478,0,0.000901,0.000901,0.000901
7,389.949,1.55536,2.37999,0.51627,0.00404,1.72407,0.46797,0.3779,0.36889,0.23134,0.44111,0.35769,0.33682,0.17633,1.41519,2.12981,0.51163,0.00472,0,0.0008812,0.0008812,0.0008812
8,417.895,1.51098,2.26486,0.48946,0.0039,1.34104,0.44682,0.36214,0.38082,0.25183,0.42783,0.34621,0.35462,0.20216,1.35837,2.04713,0.46693,0.00429,0,0.0008614,0.0008614,0.0008614
9,445.613,1.46265,2.19565,0.46887,0.0039,1.14587,0.40925,0.37588,0.37197,0.24488,0.409,0.3573,0.35032,0.19517,1.36692,2.11877,0.46051,0.00422,0,0.0008416,0.0008416,0.0008416
10,470.214,1.52975,2.35856,0.4658,0.00379,1.08288,0.54143,0.32667,0.37175,0.22979,0.49074,0.31464,0.33769,0.18264,1.39172,2.10318,0.56362,0.00471,0,0.0008218,0.0008218,0.0008218
11,498.899,1.53139,2.31555,0.46586,0.00369,1.0688,0.44465,0.38207,0.39243,0.25085,0.44326,0.35667,0.36343,0.19577,1.37608,2.03443,0.45014,0.00434,0,0.000802,0.000802,0.000802
12,526.018,1.49499,2.2393,0.44785,0.00383,0.9978,0.41229,0.356,0.35473,0.22972,0.41224,0.3334,0.32769,0.18591,1.38891,2.03782,0.45569,0.00447,0,0.0007822,0.0007822,0.0007822
13,553.46,1.47391,2.17708,0.43952,0.00381,0.96504,0.44595,0.37561,0.38644,0.24907,0.41895,0.35578,0.35396,0.20368,1.37395,1.99905,0.44497,0.00432,0,0.0007624,0.0007624,0.0007624
14,580.9,1.42997,2.09685,0.43941,0.0036,0.97709,0.49269,0.37196,0.38841,0.25222,0.44339,0.34388,0.35261,0.19693,1.35199,1.97657,0.43867,0.00431,0,0.0007426,0.0007426,0.0007426
15,605.817,1.47648,2.20297,0.40208,0.00341,0.95215,0.50147,0.37727,0.40431,0.26108,0.47889,0.36067,0.37392,0.2034,1.3521,2.00076,0.4353,0.0041,0,0.0007228,0.0007228,0.0007228
16,634.156,1.4973,2.24695,0.42002,0.00348,0.95949,0.51084,0.39041,0.4252,0.28476,0.50724,0.34736,0.38412,0.22427,1.28472,1.92021,0.41792,0.00405,0,0.000703,0.000703,0.000703
17,661.892,1.42456,2.13658,0.41027,0.00366,0.94714,0.5268,0.37917,0.42668,0.28584,0.49467,0.3571,0.39937,0.21661,1.26695,1.89302,0.40991,0.00399,0,0.0006832,0.0006832,0.0006832
18,690.114,1.37286,1.99993,0.4036,0.00348,0.96017,0.50013,0.38827,0.40095,0.26879,0.48151,0.37232,0.37613,0.21371,1.29931,1.92453,0.41677,0.00385,0,0.0006634,0.0006634,0.0006634
19,714.89,1.36542,1.95181,0.36366,0.00322,0.83673,0.42045,0.41807,0.41726,0.27098,0.46918,0.3479,0.37995,0.20729,1.27495,1.91327,0.40716,0.00367,0,0.0006436,0.0006436,0.0006436
20,742.325,1.31922,1.91228,0.34765,0.00314,0.82927,0.56966,0.40063,0.43459,0.29003,0.53986,0.3868,0.40394,0.22091,1.26115,1.85304,0.40741,0.00384,0,0.0006238,0.0006238,0.0006238
21,770.129,1.38745,2.00586,0.36876,0.00322,0.83756,0.46963,0.38842,0.40646,0.2717,0.47815,0.36202,0.37885,0.21432,1.26959,1.86071,0.42226,0.00384,0,0.000604,0.000604,0.000604
22,797.948,1.36614,2.00935,0.37134,0.00324,0.85728,0.46936,0.39739,0.41473,0.28035,0.46585,0.39038,0.39791,0.2215,1.27389,1.8921,0.40715,0.0039,0,0.0005842,0.0005842,0.0005842
23,822.295,1.3367,1.95675,0.34453,0.00313,0.80658,0.58573,0.37834,0.42353,0.28974,0.54834,0.3612,0.39135,0.2187,1.25621,1.90659,0.40628,0.00386,0,0.0005644,0.0005644,0.0005644
24,850.178,1.37215,1.98421,0.33801,0.00309,0.79294,0.47556,0.41353,0.42393,0.29157,0.4517,0.39632,0.395,0.22597,1.2193,1.82524,0.39735,0.00354,0,0.0005446,0.0005446,0.0005446
25,878.125,1.30991,1.93738,0.36084,0.00307,0.8052,0.45083,0.42691,0.41857,0.28691,0.4443,0.41202,0.39018,0.22806,1.24813,1.89548,0.40526,0.00357,0,0.0005248,0.0005248,0.0005248
26,905.96,1.29957,1.92326,0.3459,0.00313,0.81871,0.51136,0.39331,0.42118,0.28425,0.50074,0.37825,0.39165,0.22218,1.23488,1.8305,0.39634,0.0035,0,0.000505,0.000505,0.000505
27,933.385,1.31068,1.94685,0.33173,0.00293,0.75799,0.52111,0.41032,0.43112,0.2931,0.49866,0.39593,0.40037,0.23105,1.23493,1.80063,0.39446,0.00346,0,0.0004852,0.0004852,0.0004852
28,958.451,1.29299,1.88128,0.3424,0.00322,0.76621,0.50673,0.40153,0.4276,0.29536,0.48331,0.38435,0.39404,0.22922,1.20388,1.82597,0.39481,0.00349,0,0.0004654,0.0004654,0.0004654
29,986.304,1.30023,1.9244,0.34446,0.00296,0.77961,0.50742,0.42967,0.4363,0.30184,0.55641,0.37459,0.40263,0.23258,1.19315,1.79955,0.38401,0.00336,0,0.0004456,0.0004456,0.0004456
30,1014.46,1.27614,1.90552,0.33099,0.0029,0.76544,0.52833,0.40137,0.4299,0.30019,0.51722,0.38895,0.40468,0.23764,1.1989,1.81935,0.3974,0.0034,0,0.0004258,0.0004258,0.0004258
31,1042.64,1.27901,1.89141,0.32373,0.00285,0.71268,0.45472,0.43574,0.43386,0.29877,0.46222,0.4074,0.40022,0.22891,1.20997,1.8126,0.38102,0.00341,0,0.000406,0.000406,0.000406
32,1067.44,1.29263,1.85981,0.30931,0.00271,0.6813,0.54415,0.40959,0.44192,0.30869,0.52352,0.38466,0.4059,0.23803,1.18698,1.7869,0.39478,0.00329,0,0.0003862,0.0003862,0.0003862
33,1094.96,1.25746,1.81958,0.31192,0.00278,0.70779,0.5164,0.41707,0.43198,0.30717,0.52391,0.38926,0.40056,0.23629,1.20253,1.82494,0.39163,0.00334,0,0.0003664,0.0003664,0.0003664
34,1122.71,1.26976,1.88494,0.30679,0.00262,0.66257,0.51456,0.41576,0.4362,0.30657,0.50033,0.40372,0.40848,0.23634,1.20868,1.80788,0.38486,0.00338,0,0.0003466,0.0003466,0.0003466
35,1150.55,1.23751,1.81737,0.29844,0.00264,0.64952,0.51044,0.44371,0.44507,0.3146,0.4967,0.41634,0.41365,0.23949,1.17308,1.77314,0.38921,0.00322,0,0.0003268,0.0003268,0.0003268
36,1174.59,1.12439,1.55906,0.27739,0.00278,0.45716,0.51251,0.42793,0.44008,0.30854,0.52364,0.39701,0.40712,0.23916,1.20193,1.81688,0.40264,0.00322,0,0.000307,0.000307,0.000307
37,1200.23,1.09984,1.49476,0.24825,0.00261,0.42151,0.5146,0.42358,0.44702,0.31201,0.49466,0.40725,0.41029,0.23574,1.19432,1.82017,0.39214,0.00325,0,0.0002872,0.0002872,0.0002872
38,1225.97,1.09513,1.51595,0.25672,0.00263,0.42328,0.52329,0.42073,0.44833,0.31521,0.54086,0.38671,0.41262,0.24489,1.17292,1.76951,0.39008,0.00312,0,0.0002674,0.0002674,0.0002674
39,1251.83,1.09097,1.51243,0.24662,0.00249,0.4056,0.50207,0.43283,0.44997,0.31758,0.50699,0.41286,0.41781,0.24394,1.17505,1.75412,0.38654,0.00315,0,0.0002476,0.0002476,0.0002476
40,1274.54,1.0878,1.50863,0.2436,0.00259,0.39711,0.50342,0.41933,0.44358,0.31413,0.48098,0.39897,0.41379,0.24441,1.18121,1.76089,0.38567,0.00314,0,0.0002278,0.0002278,0.0002278
41,1300.15,1.08828,1.4955,0.24315,0.00251,0.40469,0.57676,0.39797,0.44511,0.31499,0.55743,0.38215,0.40971,0.24127,1.17119,1.7767,0.39292,0.00305,0,0.000208,0.000208,0.000208
42,1326.09,1.06633,1.45942,0.23387,0.00252,0.37766,0.52818,0.41772,0.44153,0.31218,0.53999,0.38534,0.41176,0.24182,1.15654,1.75641,0.38991,0.00306,0,0.0001882,0.0001882,0.0001882
43,1348.52,1.04837,1.4559,0.2277,0.00235,0.35253,0.52908,0.4287,0.44591,0.31703,0.51521,0.40929,0.41987,0.25165,1.1599,1.75452,0.38678,0.00302,0,0.0001684,0.0001684,0.0001684
44,1374.38,1.04554,1.4622,0.22589,0.0023,0.39426,0.52619,0.43001,0.44918,0.31915,0.50545,0.40802,0.41506,0.24273,1.14861,1.75284,0.38889,0.00292,0,0.0001486,0.0001486,0.0001486
45,1400.17,1.02926,1.45304,0.23013,0.00244,0.38168,0.54891,0.41862,0.4517,0.31856,0.52853,0.39617,0.41473,0.24457,1.15303,1.76047,0.38632,0.00292,0,0.0001288,0.0001288,0.0001288
46,1422.49,1.06137,1.43308,0.2213,0.00227,0.35315,0.55297,0.42154,0.45453,0.32503,0.55246,0.39312,0.41885,0.24354,1.13978,1.77519,0.39026,0.00292,0,0.000109,0.000109,0.000109
47,1447.96,1.07444,1.48068,0.22568,0.00228,0.34696,0.53614,0.43109,0.45662,0.32404,0.52151,0.41293,0.42218,0.24637,1.16199,1.77307,0.38631,0.00296,0,8.92e-05,8.92e-05,8.92e-05
48,1474.41,1.00774,1.4021,0.21724,0.00224,0.34936,0.50514,0.43924,0.45143,0.32268,0.51591,0.40519,0.41724,0.24502,1.12827,1.75384,0.3915,0.00286,0,6.94e-05,6.94e-05,6.94e-05
