epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0361,1.72323,3.12978,2.91192,0.0048,7.73165,0.76691,0.26415,0.29064,0.20352,0.75423,0.25139,0.26046,0.14642,1.4578,2.63851,2.06933,0.00442,0,0.000366308,0.000366308,0.000366308
2,58.5884,1.75303,2.8483,1.83303,0.00471,3.15817,0.59398,0.30391,0.31389,0.19394,0.56718,0.28315,0.27766,0.14611,1.70333,2.7353,1.84983,0.00602,0,0.00073421,0.00073421,0.00073421
3,85.7223,1.82617,2.8825,1.73963,0.00529,2.4224,0.62057,0.31497,0.33116,0.20521,0.61113,0.28252,0.28537,0.15181,1.6903,2.55988,1.67961,0.00574,0,0.00109967,0.00109967,0.00109967
4,112.403,1.81753,2.83544,1.71555,0.00533,1.7394,0.47696,0.36512,0.35144,0.21118,0.43256,0.3163,0.31385,0.17006,1.69693,2.58552,1.60484,0.00595,0,0.0011,0.0011,0.0011
5,139.651,1.85629,2.88042,1.6736,0.00538,1.39414,0.67455,0.34135,0.35698,0.21657,0.65292,0.29773,0.30417,0.1552,1.6713,2.55614,1.74915,0.0059,0,0.00109633,0.00109633,0.00109633
6,166.653,1.83089,2.84461,1.6396,0.00524,1.28334,0.48228,0.37111,0.37092,0.21788,0.40485,0.33436,0.3139,0.15977,1.67971,2.56671,1.65,0.0057,0,0.00109267,0.00109267,0.00109267
7,199.081,1.79235,2.79919,1.62032,0.00491,1.23371,0.57349,0.37251,0.3791,0.24228,0.49977,0.35,0.34349,0.18014,1.58708,2.51205,1.47312,0.00519,0,0.001089,0.001089,0.001089
8,233.477,1.78479,2.79438,1.57757,0.0049,1.18926,0.48304,0.36428,0.35119,0.22787,0.41973,0.3115,0.31202,0.16276,1.58406,2.41986,1.50834,0.00514,0,0.00108534,0.00108534,0.00108534
