epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,406.791,1.49771,2.16224,0.57705,0.00348,0.82441,0.43792,0.39432,0.38702,0.25519,0.42045,0.34586,0.33656,0.18299,1.4478,2.03034,0.68647,0.00398,0,0.0004654,0.0004654,0.0004654
29,422.728,1.55938,2.18936,0.5869,0.00352,0.82037,0.47819,0.39558,0.39628,0.25643,0.43417,0.35076,0.34561,0.18087,1.47236,2.01794,0.67688,0.00399,0,0.0004456,0.0004456,0.0004456
30,436.229,1.48854,2.08127,0.56394,0.00334,0.79041,0.51966,0.39095,0.41107,0.27002,0.45429,0.35993,0.36653,0.1954,1.45835,1.9837,0.66959,0.00383,0,0.0004258,0.0004258,0.0004258
31,450.187,1.4898,2.062,0.56243,0.00337,0.73403,0.51925,0.36285,0.39201,0.25839,0.51133,0.32441,0.34291,0.18699,1.44556,2.00648,0.70476,0.00381,0,0.000406,0.000406,0.000406
32,467.716,1.48417,2.09668,0.54759,0.00332,0.75577,0.44728,0.41736,0.39948,0.26808,0.40586,0.36731,0.35112,0.19138,1.42367,1.96452,0.67609,0.00375,0,0.0003862,0.0003862,0.0003862
33,482.897,1.50653,2.1566,0.55334,0.00322,0.74677,0.46321,0.39465,0.40225,0.26945,0.49607,0.32898,0.35641,0.19538,1.42995,1.99827,0.67697,0.00379,0,0.0003664,0.0003664,0.0003664
34,496.665,1.51491,2.14915,0.55452,0.00328,0.73414,0.55803,0.36764,0.40949,0.27201,0.51387,0.33809,0.36242,0.19986,1.41622,1.99129,0.65846,0.0038,0,0.0003466,0.0003466,0.0003466
35,510.724,1.47841,2.08422,0.53074,0.00309,0.72353,0.5114,0.40981,0.42367,0.28156,0.52681,0.35205,0.37145,0.20102,1.39567,1.98269,0.6566,0.0038,0,0.0003268,0.0003268,0.0003268
36,530.553,1.30714,1.74707,0.47887,0.00311,0.51371,0.53852,0.3814,0.40871,0.27182,0.48323,0.34834,0.35844,0.19137,1.40406,1.93987,0.67787,0.00375,0,0.000307,0.000307,0.000307
37,544.013,1.30584,1.76385,0.45852,0.00311,0.47439,0.48578,0.36947,0.39419,0.26078,0.47425,0.33041,0.35013,0.18945,1.41488,1.92917,0.70479,0.00379,0,0.0002872,0.0002872,0.0002872
38,557.936,1.27917,1.7529,0.44513,0.00292,0.45373,0.49906,0.38077,0.40699,0.27241,0.45537,0.33922,0.35979,0.19598,1.40054,1.96675,0.67004,0.00365,0,0.0002674,0.0002674,0.0002674
39,570.244,1.26793,1.71344,0.43599,0.00298,0.44755,0.49838,0.38519,0.40479,0.27303,0.48048,0.3369,0.3595,0.19671,1.39836,1.95521,0.68263,0.00363,0,0.0002476,0.0002476,0.0002476
40,585.913,1.31296,1.79024,0.43273,0.00288,0.43474,0.45569,0.41441,0.41069,0.27328,0.48476,0.33662,0.3587,0.19701,1.40512,1.932,0.67726,0.00369,0,0.0002278,0.0002278,0.0002278
41,598.306,1.25436,1.69764,0.41333,0.00286,0.41821,0.52865,0.39586,0.42349,0.27942,0.4891,0.34245,0.3598,0.19211,1.39239,1.92677,0.6694,0.0036,0,0.000208,0.000208,0.000208
42,610.273,1.2705,1.71958,0.41543,0.00281,0.40994,0.54457,0.40907,0.42105,0.28294,0.48193,0.36841,0.36664,0.20225,1.37978,1.94945,0.66394,0.00358,0,0.0001882,0.0001882,0.0001882
43,626.158,1.23677,1.68937,0.41179,0.00263,0.42082,0.53001,0.4086,0.42061,0.27686,0.49031,0.34037,0.35721,0.19407,1.38813,1.94447,0.6721,0.00351,0,0.0001684,0.0001684,0.0001684
44,638.249,1.23654,1.68822,0.4258,0.00278,0.41863,0.47929,0.4262,0.42385,0.28159,0.47812,0.35336,0.36953,0.20085,1.38189,1.91906,0.65773,0.00348,0,0.0001486,0.0001486,0.0001486
45,650.353,1.24338,1.70414,0.40975,0.00271,0.40986,0.51412,0.42421,0.42558,0.28531,0.45815,0.383,0.37054,0.20487,1.35945,1.91847,0.66001,0.00342,0,0.0001288,0.0001288,0.0001288
46,666.22,1.23444,1.6804,0.40726,0.00267,0.40526,0.55409,0.39449,0.41807,0.28181,0.50161,0.3467,0.36497,0.20118,1.35527,1.91019,0.66928,0.00331,0,0.000109,0.000109,0.000109
47,678.207,1.26941,1.70793,0.41614,0.00265,0.41608,0.5504,0.39323,0.41668,0.28134,0.4936,0.34366,0.36016,0.20041,1.36122,1.91331,0.66675,0.00334,0,8.92e-05,8.92e-05,8.92e-05
48,693.387,1.22242,1.63517,0.40397,0.00256,0.39651,0.55783,0.40307,0.42018,0.2829,0.48965,0.35959,0.36283,0.2009,1.36562,1.89362,0.66294,0.00338,0,6.94e-05,6.94e-05,6.94e-05
49,705.508,1.22571,1.61061,0.39133,0.00246,0.39236,0.5596,0.39701,0.42096,0.28472,0.49497,0.35632,0.36581,0.20281,1.36058,1.89325,0.66247,0.00336,0,4.96e-05,4.96e-05,4.96e-05
50,717.642,1.17865,1.66748,0.39343,0.00248,0.39256,0.51969,0.40748,0.42364,0.28588,0.44686,0.36947,0.3644,0.20186,1.35754,1.90561,0.66193,0.00334,0,2.98e-05,2.98e-05,2.98e-05
