epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6494,1.74654,3.44439,2.16653,0.00459,11.2736,0.79012,0.22015,0.21873,0.14145,0.77833,0.20882,0.20642,0.11001,1.54149,2.44539,1.95188,0.00437,0,0.000322222,0.000322222,0.000322222
2,35.7985,1.70334,2.78627,1.36002,0.00412,6.95216,0.64129,0.29295,0.30023,0.19227,0.64039,0.26122,0.27762,0.14737,1.5437,2.3648,1.28363,0.00448,0,0.000651229,0.000651229,0.000651229
3,49.8306,1.7,2.6588,1.04178,0.00415,3.83132,0.73299,0.30763,0.34869,0.20796,0.8458,0.26721,0.30292,0.14394,1.57387,2.36787,1.01312,0.00458,0,0.000975836,0.000975836,0.000975836
4,61.6763,1.75217,2.70962,0.9162,0.00454,2.64282,0.70911,0.30476,0.33292,0.2037,0.66887,0.258,0.28146,0.14426,1.57269,2.32294,0.91292,0.00489,0,0.0009802,0.0009802,0.0009802
5,75.6334,1.72912,2.67547,0.81544,0.00427,2.09458,0.56672,0.30562,0.34719,0.20473,0.48203,0.28841,0.31598,0.16286,1.6775,2.51447,0.80646,0.00505,0,0.0009736,0.0009736,0.0009736
6,88.129,1.70937,2.59912,0.76513,0.00443,1.64433,0.43006,0.37079,0.36238,0.22064,0.4027,0.33672,0.32329,0.1596,1.56762,2.30739,0.8134,0.00466,0,0.000967,0.000967,0.000967
7,100.213,1.69508,2.56233,0.73277,0.00417,1.18604,0.48518,0.35473,0.37214,0.22971,0.46524,0.325,0.33146,0.15984,1.53515,2.30387,0.77205,0.00455,0,0.0009604,0.0009604,0.0009604
8,114.157,1.67629,2.47339,0.68562,0.00409,1.02902,0.60385,0.37098,0.3756,0.23453,0.57311,0.33989,0.33816,0.17292,1.52582,2.28383,0.73427,0.00438,0,0.0009538,0.0009538,0.0009538
9,126.189,1.66439,2.5191,0.7008,0.00405,1.00258,0.46681,0.37436,0.39177,0.23778,0.51235,0.30355,0.34412,0.18029,1.53634,2.19054,0.737,0.00457,0,0.0009472,0.0009472,0.0009472
10,138.015,1.62935,2.42825,0.6948,0.00417,0.93305,0.49272,0.35727,0.37735,0.22625,0.49105,0.32416,0.33833,0.1847,1.60829,2.1536,0.732,0.0046,0,0.0009406,0.0009406,0.0009406
11,151.847,1.64082,2.39878,0.66936,0.00397,0.94015,0.49601,0.37362,0.39254,0.2424,0.46919,0.33649,0.34577,0.17689,1.51036,2.12575,0.7185,0.0043,0,0.000934,0.000934,0.000934
12,163.775,1.69899,2.52898,0.67266,0.00403,0.88457,0.53085,0.36591,0.38641,0.24228,0.46384,0.32774,0.32599,0.1635,1.524,2.259,0.69856,0.00439,0,0.0009274,0.0009274,0.0009274
13,177.594,1.60578,2.38735,0.62892,0.00392,0.85904,0.43925,0.3454,0.35701,0.22536,0.39506,0.30142,0.30411,0.16046,1.53013,2.15638,0.73925,0.00429,0,0.0009208,0.0009208,0.0009208
14,189.29,1.63025,2.37077,0.63418,0.00391,0.87649,0.43435,0.39349,0.38184,0.23432,0.40267,0.32962,0.31422,0.15768,1.52134,2.40312,0.69674,0.0044,0,0.0009142,0.0009142,0.0009142
15,200.807,1.59726,2.36757,0.62397,0.00374,0.86921,0.47477,0.37666,0.389,0.24354,0.43839,0.32438,0.32673,0.16425,1.49853,2.39897,0.70828,0.00416,0,0.0009076,0.0009076,0.0009076
16,214.523,1.61523,2.37705,0.63597,0.00375,0.86572,0.46521,0.37065,0.38848,0.24478,0.47613,0.3175,0.35034,0.18051,1.52646,2.1461,0.69239,0.00409,0,0.000901,0.000901,0.000901
17,226.206,1.6055,2.34655,0.63601,0.00386,0.86025,0.48419,0.36711,0.39076,0.24261,0.42392,0.34965,0.34539,0.17439,1.5434,2.16505,0.72513,0.00434,0,0.0008944,0.0008944,0.0008944
18,237.744,1.60383,2.32507,0.61391,0.00375,0.84286,0.45332,0.39093,0.38191,0.2394,0.43835,0.35204,0.34366,0.18142,1.53555,2.07821,0.694,0.00425,0,0.0008878,0.0008878,0.0008878
19,251.41,1.53103,2.22109,0.59036,0.0036,0.81145,0.41738,0.39471,0.37382,0.23887,0.39583,0.35549,0.33341,0.17685,1.52561,2.09334,0.70267,0.00427,0,0.0008812,0.0008812,0.0008812
20,263.053,1.5419,2.22637,0.58703,0.00369,0.76705,0.46936,0.37331,0.38633,0.24899,0.45967,0.351,0.35288,0.18973,1.50488,2.06091,0.67278,0.00412,0,0.0008746,0.0008746,0.0008746
21,275.015,1.60854,2.40509,0.61379,0.00358,0.83922,0.44776,0.39172,0.38222,0.24811,0.41592,0.36529,0.34635,0.18035,1.47488,2.07785,0.68098,0.00421,0,0.000868,0.000868,0.000868
22,289.005,1.52959,2.21255,0.60397,0.00366,0.75502,0.4625,0.38844,0.39206,0.24981,0.43222,0.36001,0.35263,0.18119,1.49597,2.08822,0.69051,0.00418,0,0.0008614,0.0008614,0.0008614
