epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,802.492,1.49799,2.23025,0.11693,0.00309,0.59743,0.73287,0.39953,0.45242,0.30271,0.70511,0.38517,0.41321,0.23832,1.41381,2.24325,0.12827,0.00359,0,0.000517059,0.000517059,0.000517059
29,827.152,1.44053,2.19159,0.11576,0.00315,0.58861,0.69141,0.40356,0.44965,0.30593,0.67133,0.37829,0.4185,0.24559,1.39148,2.23747,0.11999,0.00363,0,0.000495062,0.000495062,0.000495062
30,857.792,1.44851,2.1986,0.11571,0.00304,0.59697,0.63473,0.39828,0.44281,0.30201,0.59701,0.37935,0.41684,0.24267,1.39699,2.28166,0.11843,0.00362,0,0.000473064,0.000473064,0.000473064
31,883.013,1.47177,2.19299,0.11481,0.00299,0.56526,0.68695,0.39327,0.44816,0.30452,0.65628,0.36363,0.41,0.23839,1.4101,2.26854,0.11951,0.00365,0,0.000451066,0.000451066,0.000451066
32,914.282,1.46298,2.18386,0.11329,0.00308,0.55807,0.62043,0.40681,0.4326,0.29496,0.59341,0.37598,0.3925,0.23235,1.41282,2.28287,0.11936,0.00363,0,0.000429068,0.000429068,0.000429068
33,942.531,1.439,2.14642,0.11232,0.00308,0.56143,0.67572,0.39984,0.4461,0.30467,0.65154,0.36677,0.4129,0.23732,1.39947,2.27908,0.12133,0.00357,0,0.00040707,0.00040707,0.00040707
34,967.743,1.43272,2.18594,0.11054,0.00296,0.54422,0.66491,0.41702,0.45255,0.30599,0.63746,0.38484,0.41595,0.23876,1.39139,2.18573,0.11841,0.0035,0,0.000385073,0.000385073,0.000385073
35,996.185,1.42366,2.13787,0.10941,0.00309,0.55162,0.6699,0.41207,0.45414,0.30842,0.65103,0.38776,0.42293,0.24215,1.38172,2.24048,0.11939,0.00346,0,0.000363075,0.000363075,0.000363075
36,1025.95,1.40305,2.10488,0.10843,0.00287,0.55331,0.67151,0.42413,0.46819,0.31755,0.67202,0.38979,0.42657,0.24246,1.37004,2.19591,0.11848,0.00337,0,0.000341077,0.000341077,0.000341077
37,1052.38,1.4426,2.1591,0.11168,0.00289,0.55712,0.66362,0.40746,0.45145,0.31032,0.64836,0.38577,0.40873,0.23336,1.37515,2.19282,0.11898,0.00339,0,0.000319079,0.000319079,0.000319079
