epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0519,1.67849,3.71058,0.00508,0.98698,0.13902,0.16635,0.12003,1.27694,2.09262,0.00387,0.000322222,0.000322222,0.000322222
2,101.066,1.54199,1.44841,0.00499,0.7656,0.25968,0.26813,0.18427,1.32222,1.07533,0.00441,0.000642576,0.000642576,0.000642576
3,117.65,1.60475,0.7398,0.00489,0.64853,0.28129,0.31124,0.19235,1.46508,0.62361,0.00528,0.000949729,0.000949729,0.000949729
4,137.548,1.63309,0.5426,0.00499,0.55089,0.30768,0.33236,0.21049,1.4264,0.52188,0.00493,0.0009406,0.0009406,0.0009406
5,153.886,1.60926,0.46435,0.0052,0.5328,0.34734,0.34508,0.20996,1.46252,0.42033,0.00532,0.0009208,0.0009208,0.0009208
6,173.256,1.57761,0.41337,0.0053,0.45565,0.35716,0.37478,0.23453,1.42239,0.36531,0.00532,0.000901,0.000901,0.000901
7,189.627,1.59123,0.36039,0.00489,0.44192,0.36756,0.38096,0.23636,1.49529,0.34336,0.00524,0.0008812,0.0008812,0.0008812
8,209.56,1.5657,0.34391,0.00506,0.51688,0.39108,0.41086,0.24824,1.42445,0.3325,0.00504,0.0008614,0.0008614,0.0008614
9,225.979,1.54513,0.32278,0.00469,0.67895,0.3932,0.40132,0.25508,1.40356,0.31979,0.00471,0.0008416,0.0008416,0.0008416
10,245.774,1.58253,0.31579,0.00469,0.48078,0.40939,0.40924,0.24961,1.48048,0.31726,0.00511,0.0008218,0.0008218,0.0008218
11,261.969,1.53341,0.3076,0.00473,0.536,0.40493,0.45262,0.28112,1.44699,0.29307,0.00519,0.000802,0.000802,0.000802
12,281.554,1.48994,0.30839,0.00476,0.54275,0.41015,0.4391,0.28479,1.39174,0.28822,0.00449,0.0007822,0.0007822,0.0007822
13,298.042,1.48758,0.27703,0.00425,0.53836,0.41432,0.42525,0.25833,1.45742,0.30534,0.00489,0.0007624,0.0007624,0.0007624
14,317.67,1.46384,0.2675,0.00441,0.52456,0.40851,0.42976,0.27318,1.41182,0.29854,0.00462,0.0007426,0.0007426,0.0007426
15,333.724,1.45321,0.25449,0.0042,0.50291,0.42169,0.42991,0.2529,1.52945,0.31146,0.00529,0.0007228,0.0007228,0.0007228
16,353.218,1.49924,0.26417,0.00412,0.51995,0.39661,0.42888,0.26299,1.5195,0.29698,0.00525,0.000703,0.000703,0.000703
17,369.291,1.45875,0.25601,0.00431,0.72262,0.42171,0.45328,0.29664,1.34418,0.27119,0.00466,0.0006832,0.0006832,0.0006832
18,389.593,1.49187,0.25016,0.00412,0.56576,0.41155,0.45592,0.29878,1.35685,0.2765,0.00445,0.0006634,0.0006634,0.0006634
19,406.623,1.46366,0.24329,0.00421,0.71329,0.4267,0.46096,0.2995,1.34893,0.27222,0.00473,0.0006436,0.0006436,0.0006436
20,425.351,1.41472,0.2371,0.00397,0.52958,0.43931,0.45509,0.29903,1.32472,0.28127,0.00424,0.0006238,0.0006238,0.0006238
