epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,321.812,1.6904,0.12781,0.00458,0.54062,0.42839,0.43992,0.28516,1.43241,0.12212,0.00418,0.000810363,0.000810363,0.000810363
43,327.508,1.6568,0.12338,0.00453,0.64738,0.39149,0.43096,0.26627,1.56395,0.12219,0.00505,0.000803031,0.000803031,0.000803031
44,333.106,1.68514,0.12416,0.00462,0.59385,0.41331,0.44634,0.28088,1.5211,0.12022,0.00478,0.000795698,0.000795698,0.000795698
45,340.753,1.67992,0.12296,0.00451,0.61292,0.42875,0.45157,0.28332,1.52531,0.12184,0.00502,0.000788366,0.000788366,0.000788366
46,346.464,1.68983,0.12396,0.00464,0.50823,0.4296,0.43957,0.29167,1.43748,0.11904,0.00431,0.000781033,0.000781033,0.000781033
47,352.204,1.71111,0.12003,0.00443,0.56341,0.44402,0.45575,0.28851,1.49385,0.11809,0.00479,0.0007737,0.0007737,0.0007737
48,357.699,1.6928,0.1207,0.00451,0.4822,0.4615,0.4528,0.28958,1.47284,0.11717,0.00451,0.000766368,0.000766368,0.000766368
49,363.374,1.65792,0.12141,0.00446,0.56343,0.4349,0.45706,0.29425,1.47456,0.11538,0.00443,0.000759035,0.000759035,0.000759035
50,369.072,1.69767,0.12162,0.00461,0.59456,0.45451,0.46671,0.29171,1.52854,0.1194,0.00528,0.000751703,0.000751703,0.000751703
51,376.707,1.68101,0.11952,0.00445,0.58801,0.42552,0.46406,0.28471,1.53726,0.11868,0.00506,0.00074437,0.00074437,0.00074437
52,382.424,1.65823,0.11964,0.00449,0.58863,0.43431,0.46492,0.29622,1.49672,0.1166,0.00497,0.000737037,0.000737037,0.000737037
53,388.044,1.65681,0.11942,0.0044,0.58606,0.44905,0.45688,0.29146,1.4979,0.11844,0.00468,0.000729705,0.000729705,0.000729705
54,393.588,1.67016,0.12172,0.00446,0.5075,0.41854,0.45284,0.29205,1.4421,0.1208,0.00427,0.000722372,0.000722372,0.000722372
55,399.437,1.67448,0.11938,0.00444,0.63281,0.41162,0.4595,0.2967,1.42417,0.11759,0.00424,0.00071504,0.00071504,0.00071504
56,407.099,1.64449,0.11629,0.00441,0.5525,0.43485,0.46549,0.28941,1.50648,0.12006,0.00481,0.000707707,0.000707707,0.000707707
57,412.822,1.66438,0.12002,0.00463,0.5437,0.45673,0.45906,0.29079,1.49883,0.11826,0.00464,0.000700374,0.000700374,0.000700374
58,418.443,1.63853,0.11889,0.00457,0.57996,0.44768,0.46704,0.30877,1.45275,0.11554,0.00433,0.000693042,0.000693042,0.000693042
59,424.07,1.7106,0.11823,0.00451,0.56251,0.42598,0.46222,0.29796,1.49075,0.11538,0.00462,0.000685709,0.000685709,0.000685709
60,429.664,1.65366,0.11705,0.00428,0.60674,0.44159,0.47569,0.29973,1.46502,0.11562,0.00458,0.000678377,0.000678377,0.000678377
61,435.28,1.66557,0.11826,0.00462,0.57375,0.45357,0.47478,0.2921,1.53234,0.11714,0.00484,0.000671044,0.000671044,0.000671044
62,442.874,1.63943,0.11583,0.00446,0.5136,0.45036,0.4577,0.29126,1.50047,0.11832,0.00485,0.000663711,0.000663711,0.000663711
63,448.507,1.64911,0.11632,0.00452,0.56865,0.4575,0.47199,0.30009,1.47657,0.11609,0.0045,0.000656379,0.000656379,0.000656379
64,454.067,1.63681,0.11509,0.00439,0.56789,0.42689,0.45768,0.28585,1.50089,0.11619,0.00479,0.000649046,0.000649046,0.000649046
65,459.54,1.66833,0.11757,0.00444,0.57215,0.45763,0.47318,0.31008,1.39929,0.11184,0.00407,0.000641714,0.000641714,0.000641714
66,465.142,1.64221,0.11449,0.00422,0.63296,0.42854,0.46018,0.29702,1.45144,0.11293,0.00436,0.000634381,0.000634381,0.000634381
67,470.637,1.66176,0.11647,0.00447,0.50892,0.41949,0.44565,0.2918,1.47197,0.11554,0.00458,0.000627048,0.000627048,0.000627048
68,478.358,1.62816,0.11391,0.00423,0.53305,0.4209,0.46963,0.30286,1.45562,0.11375,0.00431,0.000619716,0.000619716,0.000619716
69,484.333,1.63464,0.11369,0.0043,0.56852,0.46979,0.46421,0.30303,1.48714,0.11329,0.00457,0.000612383,0.000612383,0.000612383
70,490.303,1.64483,0.1145,0.00439,0.58153,0.45718,0.48771,0.30846,1.49567,0.11421,0.00463,0.000605051,0.000605051,0.000605051
71,496.249,1.62911,0.11367,0.00427,0.57101,0.43901,0.4776,0.30745,1.49135,0.11149,0.00451,0.000597718,0.000597718,0.000597718
72,502.319,1.62189,0.11463,0.00441,0.62759,0.4432,0.47251,0.29763,1.49748,0.11451,0.00468,0.000590385,0.000590385,0.000590385
73,510.184,1.6482,0.1133,0.00439,0.56382,0.44797,0.48247,0.31582,1.43541,0.11041,0.00413,0.000583053,0.000583053,0.000583053
74,516.301,1.66643,0.11341,0.0044,0.62603,0.46348,0.49426,0.31776,1.4709,0.10864,0.00449,0.00057572,0.00057572,0.00057572
75,522.309,1.62461,0.11384,0.00435,0.61235,0.46726,0.49535,0.31546,1.48964,0.11487,0.00449,0.000568388,0.000568388,0.000568388
76,528.515,1.61477,0.11256,0.00436,0.62959,0.46101,0.48852,0.32255,1.43989,0.11352,0.00421,0.000561055,0.000561055,0.000561055
77,534.76,1.61006,0.11175,0.00423,0.61111,0.47644,0.49119,0.31265,1.45459,0.1115,0.00461,0.000553722,0.000553722,0.000553722
78,542.736,1.61028,0.11302,0.00423,0.59081,0.46808,0.47052,0.30138,1.45723,0.11444,0.00431,0.00054639,0.00054639,0.00054639
79,548.756,1.61921,0.11499,0.00445,0.60526,0.45445,0.48674,0.31893,1.41968,0.112,0.00411,0.000539057,0.000539057,0.000539057
80,554.801,1.63704,0.1132,0.00439,0.61693,0.47103,0.49038,0.31142,1.49497,0.11016,0.00455,0.000531725,0.000531725,0.000531725
81,560.453,1.63183,0.1102,0.00418,0.64858,0.49834,0.50116,0.32922,1.42722,0.10651,0.00414,0.000524392,0.000524392,0.000524392
82,566.329,1.65311,0.11078,0.00429,0.64196,0.44631,0.49212,0.3255,1.44583,0.10758,0.00427,0.000517059,0.000517059,0.000517059
83,572.066,1.61264,0.11079,0.00436,0.67723,0.46009,0.51193,0.32252,1.46322,0.10934,0.0043,0.000509727,0.000509727,0.000509727
84,579.922,1.63694,0.11044,0.00423,0.68775,0.46657,0.50522,0.32635,1.45126,0.10934,0.00438,0.000502394,0.000502394,0.000502394
85,585.728,1.65174,0.10954,0.00411,0.67089,0.47377,0.51428,0.32616,1.46809,0.1096,0.00441,0.000495062,0.000495062,0.000495062
86,591.503,1.62763,0.11143,0.00431,0.64533,0.46655,0.49211,0.32084,1.45364,0.11034,0.00417,0.000487729,0.000487729,0.000487729
87,597.28,1.62968,0.11106,0.00418,0.67471,0.46994,0.50565,0.32504,1.43775,0.10932,0.00441,0.000480396,0.000480396,0.000480396
88,603.279,1.62022,0.11158,0.00415,0.69761,0.46091,0.50592,0.3357,1.41726,0.10893,0.00415,0.000473064,0.000473064,0.000473064
89,609.316,1.58359,0.1097,0.00426,0.59438,0.47583,0.50299,0.33452,1.4307,0.10517,0.0043,0.000465731,0.000465731,0.000465731
90,616.64,1.60655,0.10765,0.00406,0.70646,0.45697,0.50776,0.33241,1.46898,0.10612,0.00452,0.000458399,0.000458399,0.000458399
91,622.134,1.5857,0.10824,0.00414,0.62608,0.47018,0.50182,0.32767,1.44401,0.10914,0.00438,0.000451066,0.000451066,0.000451066
92,627.91,1.62129,0.1094,0.00401,0.62739,0.47024,0.5021,0.33944,1.3935,0.10767,0.00384,0.000443733,0.000443733,0.000443733
93,633.867,1.63446,0.10851,0.00409,0.66315,0.47406,0.50993,0.34627,1.36667,0.10633,0.00379,0.000436401,0.000436401,0.000436401
94,639.991,1.60098,0.10784,0.00405,0.60951,0.4856,0.51029,0.33698,1.43197,0.10611,0.00421,0.000429068,0.000429068,0.000429068
95,648.717,1.59853,0.10832,0.00427,0.65423,0.48988,0.52276,0.34545,1.41463,0.10517,0.00415,0.000421736,0.000421736,0.000421736
96,654.934,1.61351,0.10896,0.00414,0.66544,0.47096,0.51476,0.33934,1.43575,0.10659,0.00428,0.000414403,0.000414403,0.000414403
97,660.547,1.61639,0.10743,0.00413,0.65425,0.4687,0.50895,0.34029,1.41005,0.10668,0.00412,0.00040707,0.00040707,0.00040707
98,666.011,1.58958,0.10894,0.00417,0.64005,0.48453,0.50988,0.33167,1.43592,0.1077,0.00438,0.000399738,0.000399738,0.000399738
99,671.745,1.62299,0.11045,0.00419,0.64831,0.48155,0.51343,0.34278,1.39633,0.10488,0.00394,0.000392405,0.000392405,0.000392405
100,677.781,1.61313,0.10733,0.00411,0.6447,0.50822,0.51323,0.33292,1.43274,0.1053,0.00431,0.000385073,0.000385073,0.000385073
101,685.779,1.61063,0.10927,0.00404,0.63522,0.49188,0.49992,0.33483,1.39761,0.10618,0.00416,0.00037774,0.00037774,0.00037774
