epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,418.323,1.491,0.09614,0.00387,0.67506,0.53093,0.57751,0.38525,1.37164,0.09491,0.00425,0.000810363,0.000810363,0.000810363
43,429.22,1.46825,0.09309,0.00387,0.72892,0.55747,0.60118,0.40213,1.34892,0.09184,0.00401,0.000803031,0.000803031,0.000803031
44,437.771,1.47686,0.09178,0.00388,0.67514,0.5679,0.59664,0.4095,1.29904,0.09026,0.00382,0.000795698,0.000795698,0.000795698
45,446.301,1.47345,0.09199,0.00376,0.71161,0.54167,0.59829,0.40796,1.3272,0.0943,0.0039,0.000788366,0.000788366,0.000788366
46,454.779,1.47547,0.0923,0.00391,0.69243,0.55257,0.58029,0.39863,1.35886,0.09113,0.00404,0.000781033,0.000781033,0.000781033
47,465.753,1.50098,0.08874,0.00373,0.68438,0.56198,0.59889,0.41035,1.34092,0.09349,0.00405,0.0007737,0.0007737,0.0007737
48,474.301,1.47436,0.08902,0.00375,0.71873,0.57962,0.59392,0.40458,1.34038,0.09234,0.0041,0.000766368,0.000766368,0.000766368
49,482.71,1.44289,0.08812,0.00366,0.76631,0.55504,0.59861,0.40698,1.32895,0.08857,0.00389,0.000759035,0.000759035,0.000759035
50,493.611,1.4754,0.09132,0.00382,0.7814,0.56051,0.60758,0.41856,1.33204,0.08812,0.0042,0.000751703,0.000751703,0.000751703
51,502.318,1.45519,0.0897,0.00367,0.74159,0.5332,0.5943,0.40385,1.33755,0.09225,0.00412,0.00074437,0.00074437,0.00074437
52,510.604,1.43109,0.08966,0.00367,0.69223,0.55139,0.58469,0.41353,1.28275,0.09149,0.00384,0.000737037,0.000737037,0.000737037
53,519.052,1.43629,0.08854,0.00359,0.77921,0.54918,0.6149,0.43073,1.29611,0.08979,0.00396,0.000729705,0.000729705,0.000729705
54,530.055,1.45462,0.08966,0.00373,0.73267,0.56989,0.60152,0.43305,1.26664,0.08974,0.00377,0.000722372,0.000722372,0.000722372
55,538.563,1.45847,0.08878,0.00368,0.70534,0.56674,0.62238,0.43159,1.28245,0.08729,0.00386,0.00071504,0.00071504,0.00071504
56,546.838,1.42459,0.08432,0.00363,0.72118,0.55422,0.6039,0.40274,1.38708,0.09125,0.00442,0.000707707,0.000707707,0.000707707
57,555.285,1.4412,0.08738,0.00379,0.78449,0.52745,0.60777,0.41451,1.34271,0.08814,0.00428,0.000700374,0.000700374,0.000700374
58,566.1,1.42122,0.08584,0.00375,0.71826,0.55479,0.61251,0.41962,1.30609,0.0874,0.00418,0.000693042,0.000693042,0.000693042
59,574.542,1.46061,0.08747,0.00361,0.72423,0.55692,0.61915,0.41795,1.35977,0.08884,0.00424,0.000685709,0.000685709,0.000685709
60,582.945,1.42981,0.08581,0.00348,0.75543,0.56417,0.61726,0.41646,1.33217,0.08732,0.00411,0.000678377,0.000678377,0.000678377
61,591.515,1.45133,0.08597,0.00384,0.77917,0.55442,0.61892,0.40951,1.37513,0.08705,0.00423,0.000671044,0.000671044,0.000671044
62,602.448,1.41767,0.08383,0.00365,0.75395,0.55155,0.61552,0.43702,1.25175,0.08652,0.00362,0.000663711,0.000663711,0.000663711
63,610.974,1.40702,0.0858,0.00369,0.76124,0.57724,0.6183,0.4353,1.24387,0.08861,0.00359,0.000656379,0.000656379,0.000656379
64,619.281,1.4121,0.0837,0.00358,0.76364,0.55869,0.6275,0.41321,1.37644,0.08831,0.00434,0.000649046,0.000649046,0.000649046
